Start Date, Start Time, Subject, Location, All Day Event, Private
2016/08/27,13:00,더불어민주당 제2차 정기전국대의원대회,올림픽체조경기장(송파구 올림픽로424),False,False
2016/08/29,07:30,현충원 참배,국립서울현충원(서울 동작구 현충로 210),False,False
2016/08/29,09:30,최고위원회의,국회 당대표 회의실,False,False
2016/08/29,10:30,정세균 국회의장 예방,국회의장실(국회 본청 303호),False,False
2016/08/29,11:00,이정현 새누리당 대표 예방,새누리당 국회 대표실(국회 본청 227호),False,False
2016/08/29,13:30,백범 김구 묘역 참배,효창공원(서울특별시 용산구 효창원로 177-18),False,False
2016/08/29,14:30,박지원 국민의당 대표 예방,국민의당 국회 대표실(국회 본청 215호),False,False
2016/08/29,15:10,심상정 정의당 대표 예방,정의당 국회 대표실(국회 본청 223호),False,False
2016/08/29,15:40,김재원 청와대 정무수석 대통령 난 전달,국회 당대표 회의실,False,False
2016/08/29,16:30,광화문 세월호 유가족 단식 농성장 격려방문,광화문 광장,False,False
2016/08/30,07:00,민생탐방 - 가락시장 방문,가락시장 북1문(송파구 양재대로 932),False,False
2016/08/30,09:00,본회의,국회 본청 본회의장,False,False
2016/08/30,14:00,한반도 사드배치의 주요 이슈와 대응전략,민주정책연구원 7층 대회의실(영등포구 국회대로 74길 19),False,False
2016/09/01,08:00,전현직 지도부 조찬,달개비(중구 세종대로 19길 16),False,False
2016/09/01,14:00,제346회 국회(정기회) 개회식,국회 본회의장,False,False
2016/09/01,18:30,비엔날레 개막식,광주 비엔날레관(광주 북구 비엔날레로 111),False,False
2016/09/01,20:20,막걸리 토크,해뜰날 포장마차(광주 북구 저불로69번길 8),False,False
2016/09/02,08:00,국립 5.18 민주묘역 참배,5.18 민주묘역(광주 북구 민주로 200),False,False
2016/09/02,08:30,최고위원회의,민주묘역 민주관,False,False
2016/09/02,09:40,광주형일자리 창출 및 자동차 100만대 생산 도시 조성 현장간담회,기아자동차 노조사무실(광주 서구 내방동 700번지),False,False
2016/09/02,13:30,2016 정기국회 대비 의원 워크숍,국회 본청 246호,False,False
2016/09/05,09:00,비상경제최고위원회의,국회 당대표 회의실,False,False
2016/09/05,10:00,본회의,국회 본청 본회의장,False,False
2016/09/06,10:00,더불어민주당 교섭단체대표연설,국회 본회의장,False,False
2016/09/06,14:00,특별지방행정기관 지방이양 국회토론회,국회 의원회관 제1소회의실,False,False
2016/09/06,16:00,해병2사단 방문,애기봉전망대(김포시 월곶면 조강리 1-5),False,False
2016/09/07,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/09/07,10:00,국민의당 교섭단체 연설,국회 본회의장,False,False
2016/09/07,11:00,사드배치철회 성주투쟁위원회 면담,국회 당대표실,False,False
2016/09/07,12:00,상임고문 오찬,여의도 진진바라(영등포구 국제금융로 8길 27-8 NH농협캐피탈빌딩),False,False
2016/09/07,14:00,제17회 사회복지의 날 기념식,세종문화회관(종로구 세종로 81-3),False,False
2016/09/07,15:30,이희호 여사님 예방,마포구 동교동 김대중 전 대통령 사저(마포구 신촌로 4길 5-26),False,False
2016/09/08,10:00,금융감독체계 개편을 위한 정책세미나,국회 의원회관 2세미나실,False,False
2016/09/08,10:30,정대협 면담,국회 당대표 회의실,False,False
2016/09/09,09:00,확대간부회의,국회 당대표 회의실,False,False
2016/09/09,10:00,김민석 민주당 대표 예방,국회 당대표 회의실,False,False
2016/09/09,16:00,원외지역위원장협의회 총회,대전광역시의회 대회의실(대전 서구 둔산로 100),False,False
2016/09/12,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/09/12,14:00,청와대 영수회담,청와대,False,False
2016/09/13,08:30,긴급최고위원회의,국회 당대표 회의실,False,False
2016/09/13,10:10,추석 귀성인사,용산역(용산구 한강대로 23길 55),False,False
2016/09/13,12:00,민생탐방 - 남한산성시장 장보기,남한산성시장 입구(성남 중원구 은행2동 1552),False,False
2016/09/13,12:30,남한산성시장 상인회 오찬 간담회,내고향솥뚜껑삼겹살(성남 중원구 은행2동 1555),False,False
2016/09/13,16:00,김종필 전 총리 예방,김종필 전 총리 자택,False,False
2016/09/18,10:30,해공 신익희 선생 생가 방문,해공 신익희 선생 생가(경기도 광주시 초월읍 서하길14-34),False,False
2016/09/18,14:00,기자 간담회,국회 당대표 회의실,False,False
2016/09/19,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/09/19,14:00,“박근혜정부의 노동개혁 무엇이 문제인가” 정책토론회,국회도서관 대강당,False,False
2016/09/19,17:00,제20대 국회의원 환영 리셉션,63컨벤션센터 그랜드볼룸 2층(영등포구 63로 50 한화금융센터),False,False
2016/09/20,09:30,의원총회,국회 본청 예결위회의장,False,False
2016/09/20,10:00,대정부질문(정치),국회 본회의장,False,False
2016/09/20,14:25, 월성원전 현장 브리핑,,False,False
2016/09/20,15:20, 원전피해 농성주민 면담(월성원전 입구),,False,False
2016/09/20,16:35, 남산 통일전 부근 피해지역 방문,,False,False
2016/09/21,09:00,안전비상대책 최고위원회의,국회 당대표 회의실,False,False
2016/09/21,10:00,본회의,국회 본회의장,False,False
2016/09/21,13:30,제7회 노무현대통령 기념 학술 심포지엄,연세대 김대중도서관(마포구 신촌로4길 5-26 아태재단사옥),False,False
2016/09/22,08:55,국정감사상황실 현판식,본청 203호,False,False
2016/09/22,10:00,대정부질문,국회 본회의장,False,False
2016/09/22,14:00,원전안전특위 1차 회의,국회 당대표 회의실,False,False
2016/09/23,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/09/23,09:30,의원총회,국회 본청 예결위회의장,False,False
2016/09/23,10:00,대정부질문,국회 본회의장,False,False
2016/09/26,08:30,최고위원회의,국회 당대표 회의실,False,False
2016/09/26,10:00,외통위 국정감사,광화문 외교부 청사,False,False
2016/09/26,11:30,2016 연합뉴스TV경제포럼,웨스틴 조선호텔 그랜드볼룸,False,False
2016/09/27,10:00,'갈아엎은 논' 현장 방문,전북 김제시 벽골제로 538(덕산교회 옆 논),False,False
2016/09/27,10:30,쌀값 폭락 대책마련 현장 간담회,전북 김제시 벽골제로 538(덕산교회 맞은편 공터),False,False
2016/09/27,13:45,송하진 전북도지사 면담,전북도청 4층 도지사실(전주시 완산구 효자로 225),False,False
2016/09/28,08:30,민생비상대책 최고위원회의,국회 당대표 회의실,False,False
2016/09/28,09:00,의원총회,국회 본청 246호,False,False
2016/09/28,11:00,대한노인회 방문,대한노인회(용산구 임정로54),False,False
2016/09/29,11:00,한국방송기자클럽 당대표 초청토론회,세종문화회관 1층 세종홀(종로구 세종대로 175),False,False
2016/09/29,14:00,여성지방의원협의회 제2차 정기총회,국회도서관 소회의실,False,False
2016/09/30,08:30,최고위원회의,국회 본청 당대표 회의실,False,False
2016/10/01,10:30,건군 제68주년 국군의 날 기념식,계룡대 제2정문(충남 계룡시 신도안면 정장리 273-9),False,False
2016/10/02,14:00,외교안보 정책간담회,당대표 회의실,False,False
2016/10/03,10:00, 개천절 경축식(세종문화회관 대극장),,False,False
2016/10/03,18:00, 10.4 남북정상선언 9주년 기념식(63컨벤션 2층 그랜드볼룸),,False,False
2016/10/05,08:30,최고위원회의,국회 당대표 회의실,False,False
2016/10/05,10:00,세계 한인의 날 기념식,잠실 롯데호텔(송파구 올림픽로 240),False,False
2016/10/06,17:00,경향신문 창간 70주년 기념행사,63컨벤션 그랜드볼룸(영등포구 63로 50),False,False
2016/10/07,08:30,확대간부회의,국회 본청 당대표 회의실,False,False
2016/10/10,08:30,최고위원회의,당대표 회의실,False,False
2016/10/10,10:00,제14회 세계 사형폐지의 날 기념식,의원회관 제2소회의실,False,False
2016/10/10,18:00,2016세계한인민주회의 대표자 워크숍-대표자회의,글래드호텔,False,False
2016/10/11,08:00,제17회 세계지식포럼 개막식,장충체육관(중구 동호로 241),False,False
2016/10/12,08:30,최고위원회의,국회 본청 당대표 회의실,False,False
2016/10/12,14:00,'보육투자. 국가의 경쟁력이다 토론회',헌정기념관 2층 대회의실,False,False
2016/10/12,15:00,'시크릿 파일 국정원' 출간 기념 북토크,의원회관 대회의실,False,False
2016/10/13,08:30,긴급최고위원회의,본청 당대표 회의실,False,False
2016/10/13,12:00,해상주권지키기 긴급좌담회,본청 당대표 회의실,False,False
2016/10/13,16:00,한국노총 천막농성장 방문,여의도 산업은행 인근 한국노총 천막농성장(산업은행 : 영등포구 의사당대로 97),False,False
2016/10/14,08:30,최고위원회의,국회 본청 당대표 회의실,False,False
2016/10/14,10:00,외통위 종합 국정감사,외통위 회의실(본청 401호),False,False
2016/10/15,15:00,‘정청래의 국회의원 사용법’ 출판기념회,마포구청 대강당(마포구 월드컵로 212),False,False
2016/10/17,09:00,최고위원회의,국회 본청 당대표 회의실,False,False
2016/10/19,09:00,최고위원회의,본청 당대표 회의실,False,False
2016/10/19,14:00,중앙위원회의,의원회관 대회의실,False,False
2016/10/21,09:00,최순실게이트 진상규명 최고위원회의,국회 당대표 회의실,False,False
2016/10/21,14:00,중앙당 당직자 산행,어울쉼터(독립공원주차장 위치. 서울특별시 서대문구 현저동 101),False,False
2016/10/21,19:00,고 김창호 경위 조문,경찰병원(서울 송파구 송이로 123),False,False
2016/10/24,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/10/24,09:30,의원총회,국회 예결위회의장,False,False
2016/10/24,10:00,국회 본회의(정부 시정연설),국회 본회의장,False,False
2016/10/25,08:30,기자회견,국회 본청 당대표 회의실,False,False
2016/10/26,09:00,최고위원회의,국회 본청 당대표 회의실,False,False
2016/10/26,10:00,긴급 의원총회,국회 본청 246호,False,False
2016/10/27,10:00,해공 신익희 정신의 현재적 의미와 계승 방안 모색을 위한 토론회,의원회관 제2세미나실,False,False
2016/10/28,09:00,최고위원회의,국회 본청 당대표 회의실,False,False
2016/11/01,09:30,의원총회,예결위회의장,False,False
2016/11/01,14:00,박근혜-최순실 게이트 진상규명 국민보고대회,의원회관 대회의실,False,False
2016/11/02,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/02,09:30,긴급 의원총회,국회 본청 예결위회의장,False,False
2016/11/02,11:30,박근혜-최순실 게이트 진상규명 홍보 캠페인,여의도역 5번 출구,False,False
2016/11/02,14:00,‘직불금. 행복한 미래를 위한 변화’ 토론회,국회 의원회관 제1세미나실,False,False
2016/11/03,09:30,긴급 의원총회,국회 본청 246호,False,False
2016/11/03,14:00,본회의,국회 본회의장,False,False
2016/11/05,14:00,백남기 농민 영결식,광화문 광장,False,False
2016/11/07,09:00,최고위원회의,국회 본청 당대표 회의실,False,False
2016/11/07,12:00,2017 민주평화포럼 대표단 오찬,대방골(국회대로 800 진미파라곤 지하1층),False,False
2016/11/08,08:00,더불어민주당 대선후보 조찬,대방골(국회대로 800 진미파라곤 지하 1층),False,False
2016/11/08,09:25,경제안보상황실 현판식,국회 본청 214호,False,False
2016/11/08,09:30,비상경제 점검회의,국회 당대표 회의실,False,False
2016/11/08,10:00,의원총회,국회 본청 246호,False,False
2016/11/09,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/09,10:30,야3당 대표 회동,국회 사랑재,False,False
2016/11/09,14:00,종교인협의회 면담,달개비(중구 세종대로 19길 16),False,False
2016/11/10,09:00,의원총회,국회 246호,False,False
2016/11/11,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/11,10:00,본회의,국회 본회의장,False,False
2016/11/11,15:00,2016 전국상인대회,국회 의원회관 대회의실,False,False
2016/11/14,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/15,13:00, 서울중앙지검 농성장 격려 방문,,False,False
2016/11/16,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/16,09:30,박근혜 대통령 퇴진 국민주권운동본부 현판식,국회 당대표 회의실 앞,False,False
2016/11/16,14:00,‘박근혜 대통령. 국민법정에 세우다’ 긴급 토론회,의원회관 대회의실,False,False
2016/11/16,17:00,박근혜 대통령 엄정수사 촉구 번개촛불,서울중앙지검 앞(서초구 반포대로 158),False,False
2016/11/17,13:30,의원총회,국회 본청 246호,False,False
2016/11/17,14:00,본회의,국회 본회의장,False,False
2016/11/17,16:00,야3당 대표 회동,사랑재,False,False
2016/11/18,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/18,16:00,박근혜 퇴진을 위한 국민주권운동 본부 출정식,세종문화회관 계단(종로구 세종대로 175),False,False
2016/11/19,13:00,한국노총 전국노동자대회,서울시청광장,False,False
2016/11/19,15:00,더불어민주당 박근혜대통령 퇴진 결의대회,서울 청계광장 소라상 앞,False,False
2016/11/19,18:00,4차 범국민행동(촛불집회),서울 광화문 광장,False,False
2016/11/20,17:00,최고위원회의-국민조사위원회 연석회의,국회 당대표 회의실,False,False
2016/11/21,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/21,14:00,의원총회,국회 본청 246호,False,False
2016/11/21,17:00,대전시당-세종시당 박근혜대통령 퇴진 국민주권운동본부 공동출정식,삼성디지털프라자 둔산중앙점 앞(대전 서구 대덕대로 222),False,False
2016/11/21,19:00,대전 촛불집회,갤러리아 타임월드 백화점 옆(대전 서구 대덕대로 211),False,False
2016/11/22,10:00,김영삼 대통령 서거 1주기 추모식,국립서울현충원 현충관 및 묘소,False,False
2016/11/22,19:00,팟캐스트 '진짜가 나타났다 시즌3' 녹음,이이제이협동조합 안가(마포구 월드컵북로 65 2층),False,False
2016/11/23,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/23,09:30,‘박근혜 대통령 퇴진’ 스티커 차량 부착,국회 본청 2층 정문 주차장,False,False
2016/11/23,16:00,광주-전남 박근혜 대통령 퇴진 국민주권운동본부 공동 출정식,5.18 민주광장(광주 동구 금남로 245),False,False
2016/11/23,17:20,광주-전남 박근혜 대통령 퇴진 거리 서명운동,광주 충장로 우체국(충장로 94),False,False
2016/11/24,15:00,ㅎㅇㅎㄹ 박근혜 대통령 헌정유린에 대한 청년발언대,국회의원회관 제2세미나실,False,False
2016/11/25,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/25,09:40,박근혜 대통령 퇴진 국민주권운동본부 1차 회의,국회 당대표 회의실,False,False
2016/11/25,10:30,의원총회,국회 본청 246호,False,False
2016/11/25,17:30,박근혜 퇴진 거리 서명운동,쥬디스태화 파리바게뜨 앞(부산 부산진구 중앙대로 694),False,False
2016/11/25,17:45,박근혜 대통령 국민주권운동본부 부산 출정식,쥬디스태화 앞 거리,False,False
2016/11/25,19:30,부산 촛불집회,쥬디스태화 앞 거리,False,False
2016/11/26,15:00,박근혜 대통령 퇴진 결의대회,서울 청계광장,False,False
2016/11/26,18:00,제5차 범국민행동,서울 광화문광장,False,False
2016/11/28,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/29,10:00,박근혜 대통령 퇴진 국민주권운동본부 의원홍보단 출정식,국회 본청 앞 계단,False,False
2016/11/29,14:30,의원총회,국회 본청 246호,False,False
2016/11/29,18:30,2017 국민통합과 정권교체를 위한 국민통합위원회 출범식,의원회관 제1소회의실,False,False
2016/11/30,09:00,최고위원회의,국회 당대표 회의실,False,False
2016/11/30,10:00,야3당 대표 회동,귀빈식당 별실1호,False,False
